Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
10.00,21.74,190000,0,7,1,0,1,1
4.95,18.82,100000,1,10,1,0,1,1
2.36,8.97,60000,0,5,0,1,1,1
3.90,14.82,40000,0,5,0,1,1,1
2.75,11.95,90000,1,11,1,0,1,1
5.03,21.85,110000,0,5,1,0,1,1
7.75,10.12,32000,0,3,1,0,0,1
18.00,25.68,30000,0,4,1,0,1,0
8.50,12.13,58000,0,4,1,0,1,1
7.50,10.70,5000,0,2,1,0,1,1
5.70,8.13,25000,0,2,0,1,1,1
5.80,8.27,32000,0,2,0,1,1,1
4.85,6.92,30000,0,4,0,1,1,1
7.00,9.14,43000,0,3,0,1,0,1
4.15,5.42,60000,0,8,0,1,0,1
3.25,4.24,50000,0,5,0,1,1,0
5.50,7.18,14200,0,2,0,1,1,1
3.00,3.92,10000,0,3,0,1,1,1
2.17,2.83,25000,0,2,0,1,1,1
7.00,9.14,19100,0,2,0,1,1,1
4.66,4.98,25000,2,1,0,1,1,0
4.85,9.44,54000,0,6,1,0,0,1
6.70,13.04,35000,0,2,1,0,1,1
5.00,9.73,20000,1,2,0,1,1,1
6.75,9.63,52000,0,4,1,0,1,1
2.20,7.32,120000,1,9,1,0,1,1
16.50,21.54,50000,0,3,1,0,1,1
6.30,13.70,120000,1,7,1,0,1,1
2.50,9.50,90000,1,10,1,0,1,1
1.20,10.16,120000,2,16,0,1,1,1
3.00,25.41,101500,1,5,1,0,1,1
5.25,11.41,75000,0,7,1,0,1,0
11.00,15.69,100000,0,4,1,0,1,1
4.80,6.85,55735,1,8,1,0,1,1
6.05,11.77,80000,1,6,1,0,1,1
2.50,3.57,50000,1,4,0,1,1,1
2.45,5.33,70000,1,7,1,0,1,1
2.10,4.57,76000,2,8,0,1,1,1
7.30,7.30,1500,0,0,0,1,1,1
5.00,5.00,76000,0,8,1,0,1,1
4.00,4.00,40000,0,5,0,1,1,1
2.80,2.80,60000,1,5,0,1,1,1
5.61,24.37,170000,2,11,1,0,1,1
9.50,20.65,181491,0,7,1,0,0,1
3.75,5.35,53319,0,4,1,0,0,1
7.00,9.14,40906,0,3,1,0,0,1
3.75,4.90,31711,1,8,0,1,0,1
2.70,3.52,43755,1,8,0,1,0,1
3.00,4.28,66693,0,4,0,1,0,1
2.25,8.55,59549,0,10,0,1,0,1
13.50,51.32,94385,0,5,1,0,0,1
2.00,7.60,73730,0,10,0,1,0,1
4.00,13.30,221889,0,9,1,0,0,1
5.00,10.87,116104,0,7,1,0,0,1
5.00,10.87,150546,0,5,0,1,0,1
15.00,32.61,148120,0,7,1,0,0,1
5.55,12.07,20000,1,5,0,1,1,1
5.80,12.61,30000,0,2,0,1,1,0
3.37,11.21,142000,2,9,1,0,1,1
1.75,5.82,20000,0,9,1,0,1,1
1.80,7.82,120000,1,11,1,0,1,1
2.00,6.65,80000,0,9,0,1,1,1
2.60,3.71,60000,0,4,1,0,1,1
3.50,4.99,25000,0,4,0,1,1,1
4.10,13.64,50000,1,9,1,0,1,1
6.55,8.55,126000,0,3,1,0,1,1
3.70,4.83,170000,0,5,1,0,1,1
2.00,4.35,24000,0,7,0,1,1,1
